"Time (UTCG)","Power (W)","Solar Intensity"
28 Sep 2019 07:07:04.000,0.000,0.000000
28 Sep 2019 07:07:05.000,0.000,0.000000
28 Sep 2019 07:07:06.000,0.000,0.000000
28 Sep 2019 07:07:07.000,0.000,0.000000
28 Sep 2019 07:07:08.000,0.000,0.000000
28 Sep 2019 07:07:09.000,0.000,0.000000
28 Sep 2019 07:07:10.000,0.000,0.000000
28 Sep 2019 07:07:11.000,0.000,0.000000
28 Sep 2019 07:07:12.000,0.000,0.000000
28 Sep 2019 07:07:13.000,0.000,0.000000
28 Sep 2019 07:07:14.000,0.000,0.000000
28 Sep 2019 07:07:15.000,0.000,0.000000
28 Sep 2019 07:07:16.000,0.000,0.000000
28 Sep 2019 07:07:17.000,0.000,0.000000
28 Sep 2019 07:07:18.000,0.000,0.000000
28 Sep 2019 07:07:19.000,0.000,0.000000
28 Sep 2019 07:07:20.000,0.000,0.000000
28 Sep 2019 07:07:21.000,0.000,0.000000
28 Sep 2019 07:07:22.000,0.000,0.000000
28 Sep 2019 07:07:23.000,0.000,0.000000
28 Sep 2019 07:07:24.000,0.000,0.000000
28 Sep 2019 07:07:25.000,0.000,0.000000
28 Sep 2019 07:07:26.000,0.000,0.000000
28 Sep 2019 07:07:27.000,0.000,0.000000
28 Sep 2019 07:07:28.000,0.000,0.000000
28 Sep 2019 07:07:29.000,0.000,0.000000
28 Sep 2019 07:07:30.000,0.000,0.000000
28 Sep 2019 07:07:31.000,0.000,0.000000
28 Sep 2019 07:07:32.000,0.000,0.000000
28 Sep 2019 07:07:33.000,0.000,0.000000
28 Sep 2019 07:07:34.000,0.000,0.000000
28 Sep 2019 07:07:35.000,0.000,0.000000
28 Sep 2019 07:07:36.000,0.000,0.000000
28 Sep 2019 07:07:37.000,0.000,0.000000
28 Sep 2019 07:07:38.000,0.000,0.000000
28 Sep 2019 07:07:39.000,0.000,0.000000
28 Sep 2019 07:07:40.000,0.000,0.000000
28 Sep 2019 07:07:41.000,0.000,0.000000
28 Sep 2019 07:07:42.000,0.000,0.000000
28 Sep 2019 07:07:43.000,0.000,0.000000
28 Sep 2019 07:07:44.000,0.000,0.000000
28 Sep 2019 07:07:45.000,0.000,0.000000
28 Sep 2019 07:07:46.000,0.000,0.000000
28 Sep 2019 07:07:47.000,0.000,0.000000
28 Sep 2019 07:07:48.000,0.000,0.000000
28 Sep 2019 07:07:49.000,0.000,0.000000
28 Sep 2019 07:07:50.000,0.000,0.000000
28 Sep 2019 07:07:51.000,0.000,0.000000
28 Sep 2019 07:07:52.000,0.000,0.000000
28 Sep 2019 07:07:53.000,0.000,0.000000
28 Sep 2019 07:07:54.000,0.000,0.000000
28 Sep 2019 07:07:55.000,0.000,0.000000
28 Sep 2019 07:07:56.000,0.000,0.000000
28 Sep 2019 07:07:57.000,0.000,0.000000
28 Sep 2019 07:07:58.000,0.000,0.000000
28 Sep 2019 07:07:59.000,0.000,0.000000
28 Sep 2019 07:08:00.000,0.000,0.000000
28 Sep 2019 07:08:01.000,0.000,0.000000
28 Sep 2019 07:08:02.000,0.000,0.000000
28 Sep 2019 07:08:03.000,0.000,0.000000
28 Sep 2019 07:08:04.000,0.000,0.000000
28 Sep 2019 07:08:05.000,0.000,0.000000
28 Sep 2019 07:08:06.000,0.000,0.000000
28 Sep 2019 07:08:07.000,0.000,0.000000
28 Sep 2019 07:08:08.000,0.000,0.000000
28 Sep 2019 07:08:09.000,0.000,0.000000
28 Sep 2019 07:08:10.000,0.000,0.000000
28 Sep 2019 07:08:11.000,0.000,0.000000
28 Sep 2019 07:08:12.000,0.000,0.000000
28 Sep 2019 07:08:13.000,0.000,0.000000
28 Sep 2019 07:08:14.000,0.000,0.000000
28 Sep 2019 07:08:15.000,0.000,0.000000
28 Sep 2019 07:08:16.000,0.000,0.000000
